x1,x2,target
3.589330005,0.397547744,0
4.061173511,1.662727845,0
3.383041574,1.135982239,0
3.135800716,0.164679498,0
4.57397092,1.089997148,0
4.312667044,0.317917489,0
4.275041792,1.353524771,0
4.151205788,0.23694453,0
3.078125832,0.889992132,0
3.715627209,1.775964868,0
4.891366374,1.59453546,0
3.120089361,0.135957457,0
4.728084207,1.921575513,0
4.754581052,1.318410785,0
3.102387331,1.437552166,0
4.304837231,1.48715353,0
4.103502737,1.775472704,0
4.195026506,0.267891335,0
3.967057249,1.553949161,0
3.565976322,1.675983024,0
3.595451437,1.658609528,0
4.123017811,0.058313993,0
3.792094872,0.780748983,0
4.577401419,0.874503984,0
3.836968771,1.041270127,0
3.287807842,0.985745348,0
3.301813389,0.260858564,0
3.1104827,1.968767062,0
4.436074387,0.131404644,0
3.584634709,1.158568155,0
1.16154965,4.03136116,1
1.908675731,4.139650092,1
0.394887555,4.976013323,1
0.166650801,4.66574187,1
1.767728435,3.996287364,1
0.031392386,3.160302676,1
1.591189295,4.742093988,1
1.536380879,4.426172818,1
1.744087572,4.464224087,1
1.832220173,4.647239974,1
0.547626386,4.489958422,1
0.472762253,3.826125256,1
0.621039687,4.029410668,1
1.431286518,4.69308299,1
0.165470979,4.717724114,1
1.350972886,3.621007228,2
1.717049338,3.238772788,2
1.385793768,4.041918963,2
1.570167383,3.897900137,2
0.706562504,4.79457455,2
0.440384138,3.986204677,2
0.490744781,4.008955036,2
1.454825031,3.730247299,2
0.128255546,4.566012242,2
0.907474924,4.895846038,2
0.975354659,3.260030026,2
1.281749659,4.322225347,2
0.212337705,3.327464617,2
1.147219876,3.617877529,2
1.920691588,4.933260309,2
